INSERT INTO nombre_de_tu_tabla (core_id, nombre, ip_management, ubicacion) VALUES
(1, 'Switch Cómputo', '10.168.0.130', 'Cómputo'),
(1, 'Switch Lap Omar', '10.168.0.131', 'Lap Omar'),
(1, 'Switch Civil L', '10.168.0.132', 'Civil Edificio L'),
(1, 'Switch Electrónica', '10.168.0.133', 'Cubículos Electrónica'),
(1, 'Switch Ind. D53E', '10.168.0.134', 'Laboratorio Industrial'),
(1, 'Switch Wi-Fi Test', '10.168.0.135', 'pruebas wi-fi'),
(1, 'Switch Extreme Sys', '10.168.0.136', 'Extreme Sistemas'),
(1, 'Switch Escolar PSZ', '10.168.0.137', 'Servicios Escolares'),
(1, 'Switch Cs. Básicas', '10.168.0.138', 'Ciencias Básicas'),
(1, 'Switch Posgrado', '10.168.0.139', 'Posgrado'),
(1, 'Switch Dirección', '10.168.0.140', 'Dirección'),
(1, 'Switch RRHH', '10.168.0.141', 'Recursos Humanos'),
(1, 'Switch Depto Elec', '10.168.0.142', 'Electrónica - Depto.'),
(1, 'Switch Residentes', '10.168.0.143', 'OFICINA RESIDENTES'),
(1, 'Switch CEA Main', '10.168.0.144', 'CEA'),
(1, 'Switch Civil L (2)', '10.168.0.145', 'Civil Edificio L'),
(1, 'Switch Conacyt', '10.168.0.147', 'Cátedras Conacyt'),
(1, 'Switch Posgrado B', '10.168.0.148', 'Posgrado'),
(1, 'Switch Maestría', '10.168.0.149', 'Maestría en construccion'),
(1, 'Switch Eléctrica', '10.168.0.150', 'Eléctrica - Depto.'),
(1, 'Switch Simulación', '10.168.0.151', 'Simulación'),
(1, 'Switch Sim. Mecánica', '10.168.0.152', 'Simulación Mecánica'),
(1, 'Switch Mecánica', '10.168.0.153', 'Mecánica'),
(1, 'Switch Lab Elec 1', '10.168.0.154', 'Lab. Eléctrica 1'),
(1, 'Switch Des. Acad', '10.168.0.155', 'Desarrollo Académico'),
(1, 'Switch Depto Elec 2', '10.168.0.157', 'Electrónica - Depto.'),
(1, 'Switch Centro Info', '10.168.0.158', 'Centro de Información'),
(1, 'Switch Sistemas', '10.168.0.159', 'Sistemas - Depto'),
(1, 'Switch Escolares 2', '10.168.0.162', 'Servicios Escolares'),
(1, 'Switch Dirección 2', '10.168.0.163', 'Dirección'),
(1, 'Switch Centro Info 2', '10.168.0.164', 'Centro de Información'),
(1, 'Switch Bioquímica', '10.168.0.165', 'Bioquímica'),
(1, 'Switch Posgrado 0', '10.168.0.170', 'Posgrado 0'),
(1, 'Switch Posgrado 1', '10.168.0.171', 'Posgrado 1'),
(1, 'Switch Posgrado 2', '10.168.0.172', 'Posgrado 2'),
(1, 'Switch CEA 2', '10.168.0.173', 'CEA'),
(1, 'Switch Posgrado 3', '10.168.0.174', 'Posgrado 3'),
(1, 'Switch Lab Elec 2', '10.168.0.175', 'Lab. Eléctrica 2'),
(1, 'Switch Química 1', '10.168.0.181', 'Química 1'),
(1, 'Switch Química 2', '10.168.0.182', 'Química 2'),
(1, 'Switch Química 3', '10.168.0.183', 'Química 3'),
(1, 'Switch Química 4', '10.168.0.184', 'Química 4'),
(1, 'Switch Audiovisual', '10.168.0.185', 'Audiovisual Ing'),
(1, 'Switch Química 5', '10.168.0.186', 'Química 5'),
(1, 'Switch Química 6', '10.168.0.187', 'Química 6'),
(1, 'Switch Industrial', '10.168.0.188', 'Industrial'),
(1, 'Switch Cómputo Final', '10.168.0.189', 'COMPUTO');
